GLOBALEVENTID,EventCode,GoldsteinScale,NumMentions,AvgTone,QuadClass,Actor1Geo_CountryCode
676963270,173,-5.0,10,-1.76767676767677,4,RI
676964221,020,3.0,5,-7.0833333333333,1,PM
676964222,090,-2.0,10,-7.0833333333333,2,PM
676964224,190,-10.0,2,-8.10810810810811,4,OD
676967569,057,8.0,10,5.50847457627119,1,ZI
676969633,020,3.0,6,-0.13106159895151,1,BL
676969634,020,3.0,2,-0.13106159895151,1,BL
676969635,020,3.0,2,-0.13106159895151,1,BL
676970947,0841,7.0,1,-2.18579234972678,2,BN
676970949,090,-2.0,8,-2.1978021978022,2,PM
676974931,051,3.4,8,-1.42215568862276,1,KZ
676974928,057,8.0,6,-1.42215568862276,1,SY
676977416,020,3.0,10,0.0909918107370302,1,
676978808,114,-2.0,10,-4.06091370558376,3,HR
676981295,036,4.0,10,1.12676056338028,1,BG
676982449,043,2.8,10,-0.5249343832021,1,UY
676982451,042,1.9,10,-0.5249343832021,1,UY
676986100,111,-2.0,5,3.68098159509202,3,MY
676988773,057,8.0,10,-4.05850844664194,1,SU
676988774,057,8.0,10,-4.05850844664194,1,SU
676991316,046,7.0,10,-2.73972602739726,1,
676996001,040,1.0,2,-0.78239608801956,1,SA
676996003,042,1.9,2,-0.78239608801956,1,SA
676995984,195,-10.0,1,-10.4602510460251,4,BE
676995985,195,-10.0,4,-10.4602510460251,4,BE
676995983,138,-7.0,5,-10.4602510460251,3,BE
676995986,190,-10.0,8,-7.54716981132075,4,BG
676995987,190,-10.0,2,-7.54716981132075,4,CA
676997140,046,7.0,10,-2.4390243902439,1,
676998514,042,1.9,7,-6.27802690582959,1,BG
676998506,042,1.9,2,-6.27802690582959,1,BG
676998511,043,2.8,4,-6.27802690582959,1,BG
676998512,043,2.8,4,-6.27802690582959,1,BG
676998516,043,2.8,2,-6.27802690582959,1,BG
676998522,042,1.9,4,-6.27802690582959,1,BG
676998523,042,1.9,4,-6.27802690582959,1,BG
676998507,043,2.8,4,-6.27802690582959,1,BG
676998508,043,2.8,2,-6.27802690582959,1,BG
676998509,043,2.8,2,-6.27802690582959,1,BG
676998510,043,2.8,2,-6.27802690582959,1,BG
676999651,073,7.4,8,0.78917700112739,2,CU
676999650,073,7.4,2,0.78917700112739,2,CU
677001047,012,-0.4,6,1.09090909090909,1,US
677003303,173,-5.0,6,-8.1364829396325,4,MK
677004673,042,1.9,1,-0.36188178528348,1,
677005872,013,0.4,2,-1.34770889487871,1,RW
677005873,013,0.4,6,-1.34770889487871,1,RW
677005857,040,1.0,8,-2.1505376344086,1,TW
677008228,190,-10.0,4,-0.38022813688213,4,
677009523,120,-4.0,8,-7.38636363636363,3,SP
677009542,120,-4.0,2,-7.38636363636363,3,SP
677009543,120,-4.0,6,-7.38636363636363,3,SW
677009514,043,2.8,8,-7.38636363636363,1,GM
677009517,043,2.8,6,-7.38636363636363,1,GM
677009525,043,2.8,1,4.98442367601246,1,TH
677009527,042,1.9,1,4.98442367601246,1,TH
677012298,030,4.0,10,-2.1875,1,EK
677013870,042,1.9,2,1.6260162601626,1,EI
677013886,0874,10.0,1,-1.66666666666667,2,UG
677013884,080,5.0,1,-1.66666666666667,2,UG
677013885,0874,10.0,1,-1.66666666666667,2,UG
677016533,043,2.8,4,-3.20956576463185,1,US
677016517,057,8.0,6,-3.20956576463185,1,
677016518,043,2.8,8,-1.85676392572945,1,
677016519,043,2.8,2,-1.85676392572945,1,
677016520,190,-10.0,2,-8.36575875486381,4,
677016531,190,-10.0,1,-8.36575875486381,4,OD
677019107,084,7.0,5,-4.94505494505494,2,PM
677021531,042,1.9,8,-1.77935943060498,1,ER
677021532,042,1.9,2,-1.77935943060498,1,IT
677021533,043,2.8,8,-1.77935943060498,1,ER
677021535,071,7.4,10,3.30578512396695,2,EI
677022973,043,2.8,10,-0.60422960725075,1,
677022974,190,-10.0,2,-2.92207792207792,4,CO
677022975,190,-10.0,2,-2.92207792207792,4,CO
677029984,112,-2.0,3,-5.67685589519651,3,BG
677029979,013,0.4,2,0.49875311720698,1,BG
677029980,013,0.4,4,0.49875311720698,1,BG
677033927,046,7.0,1,-5.30120481927711,1,RP
677033945,043,2.8,1,-5.30120481927711,1,RP
677042813,112,-2.0,10,-3.1700288184438,3,BE
677042812,043,2.8,3,2.67857142857143,1,HR
677042803,042,1.9,3,2.67857142857143,1,EN
677047153,180,-9.0,5,-7.84883720930233,4,
677047154,190,-10.0,10,-7.84883720930233,4,
677047160,043,2.8,1,-7.84883720930233,1,IT
677047161,043,2.8,4,-7.84883720930233,1,IT
677048430,051,3.4,2,2.8028028028028,1,
677048432,083,5.0,10,0.33140016570008,2,PL
677049473,111,-2.0,1,-7.09677419354839,3,BG
677049475,111,-2.0,1,-7.09677419354839,3,BG
677049472,111,-2.0,1,-7.09677419354839,3,BG
677049474,111,-2.0,1,-7.09677419354839,3,BG
677049476,111,-2.0,3,-7.09677419354839,3,BG
677049479,111,-2.0,3,-5.77988915281077,3,ID
677049471,1123,-2.0,4,-4.78359908883827,3,
677050648,022,3.2,10,-6.37755102040816,1,SU
677050650,051,3.4,8,-6.37755102040816,1,SA
677050651,051,3.4,2,-6.37755102040816,1,SA
677052899,138,-7.0,5,-6.48535564853557,3,BG
677052900,173,-5.0,5,-6.48535564853557,4,BG
677055796,061,6.4,2,1.37254901960785,2,BG
677055795,061,6.4,4,1.37254901960785,2,BG
677055797,061,6.4,2,1.37254901960785,2,UK
677055800,100,-5.0,10,-1.66666666666667,3,ZI
677055794,100,-5.0,8,-2.67857142857143,3,ZI
677055801,100,-5.0,2,-2.67857142857143,3,ZI
677057064,020,3.0,1,-1.40969162995595,1,LE
677058613,190,-10.0,10,2.23880597014925,4,
677060466,110,-2.0,2,4.09836065573771,3,JE
