Actor2Geo_CountryCode,Year,GoldsteinScale,AvgTone,QuadClass,NumMentions
AL,2016,0.08466666666666697,-3.6295181230704583,1.9066666666666667,8.706666666666667
AL,2017,1.7999999999999998,1.4028093493821792,1.2307692307692308,5.384615384615385
AL,2018,1.881481481481484,-0.10047957501345177,1.2654320987654322,6.487654320987654
AL,2019,2.1858407079646027,-1.2208813719816825,1.336283185840708,7.247787610619469
AM,2005,-0.8846153846153846,-2.7384498718057313,1.8076923076923077,4.884615384615385
AM,2006,3.371428571428571,-1.6692487294354155,1.6428571428571428,3.142857142857143
AM,2007,1.3705882352941174,-1.2106521072710983,1.2941176470588236,3.6470588235294117
AM,2008,3.3999999999999995,-2.714727061633479,1.0769230769230769,3.8461538461538463
AM,2009,1.9208333333333327,0.09856411454592943,1.0416666666666667,3.875
AM,2014,1.1604166666666667,-2.5259750661732494,1.5,5.166666666666667
AM,2015,1.7215189873417722,-1.0814623840353321,1.4430379746835442,6.582278481012659
AM,2016,1.7512500000000002,0.26551708593521717,1.425,5.50625
AM,2017,5.36,0.8979770190281539,1.0,4.4
AM,2018,1.9054054054054055,-0.9502841180165589,1.5135135135135136,6.756756756756757
AM,2019,0.7403508771929828,-2.1015241777523976,1.7719298245614035,6.798245614035087
AN,2014,3.0,-3.7921348314606695,1.0,4.0
AN,2015,1.1500000000000001,-1.2105127144125551,1.3333333333333333,6.333333333333333
AN,2016,3.5,4.41767068273093,1.0,8.0
AN,2018,1.0,-0.98231827111984,1.0,10.0
AN,2019,3.17,-0.6006475537798133,1.0,7.8
AO,2005,3.4,1.01522842639594,1.0,5.0
AO,2006,4.0,0.4885538805136753,1.5,5.0
AO,2007,2.4333333333333336,0.09237474738334679,1.0,3.0
AO,2014,2.8000000000000003,-1.961315090600047,1.411764705882353,5.764705882352941
AO,2015,1.8764705882352937,-0.6078236366195879,1.3823529411764706,8.382352941176471
AO,2016,0.8374999999999999,-0.8603866028340407,1.671875,6.71875
AO,2017,3.5047619047619043,-0.1425505495096229,1.0952380952380953,4.0476190476190474
AO,2018,0.5599999999999999,-0.23048693265231285,1.6,6.4
AO,2019,1.1999999999999995,-0.9976345346884722,1.6153846153846154,9.0
AQ,2015,5.2,3.1055900621117996,1.0,2.0
AQ,2016,2.25,2.211466865227102,1.0,7.5
AQ,2019,0.3333333333333333,-5.249466808850333,2.6666666666666665,3.0
AR,2005,2.0833333333333335,-1.605391858177721,1.5555555555555556,5.222222222222222
AR,2006,-0.21666666666666667,-3.2158052638825354,2.0555555555555554,6.777777777777778
AR,2007,0.7153846153846153,-0.9519675811518316,1.8461538461538463,3.5384615384615383
AR,2008,-1.1428571428571428,-0.7153029061918742,2.142857142857143,2.5714285714285716
AR,2009,3.2624999999999997,0.21381940096684504,1.75,6.875
AR,2014,1.9500000000000008,-1.056184476686121,1.430232558139535,6.0813953488372094
AR,2015,1.8008368200836828,-0.9875697662786219,1.4518828451882846,7.857740585774058
AR,2016,1.4623762376237617,-1.3696508064509705,1.6105610561056105,7.864686468646864
AR,2017,1.640909090909091,-1.5276841575584266,1.606060606060606,6.666666666666667
AR,2018,1.5982142857142878,-1.0614036209334323,1.4785714285714286,8.339285714285714
AR,2019,1.879527559055114,-1.292677670840053,1.515748031496063,8.094488188976378
