"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-10-20 20:03:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2016,Finland,Angola,"G / RA",2
2016,France,Angola,"G / RA",36
2016,France,Angola,"G / AR",299
2016,France,Angola,"G / FI",674
2016,France,Angola,"G / RA",21
2016,Gabon,Angola,"G / FA",7
2016,"United Kingdom",Angola,"G / AR",21
2016,"United Kingdom",Angola,"G / RA",3
2016,"United Kingdom",Angola,"G / FI",56
2016,Greece,Angola,"G / FI",1
2016,Hungary,Angola,"G / FA",
2016,Indonesia,Angola,"U / FI",6
2016,India,Angola,"U / FI",4
2016,India,Angola,"U / AR",2
2016,Ireland,Angola,"G / RA",1
2016,Ireland,Angola,"G / SP",1
2016,Ireland,Angola,"G / FI",11
2016,Ireland,Angola,"G / SP",3
2016,Ireland,Angola,"G / AR",4
2016,Italy,Angola,"G / FI",5
2016,Kenya,Angola,"J / AR",
2016,Kenya,Angola,"J / FI",6
2016,"Rep. of Korea",Angola,"G / FA",4
2016,Lithuania,Angola,"G / FI",
2016,Luxembourg,Angola,"G / FI",2
2016,Luxembourg,Angola,"G / AR",1
2016,Morocco,Angola,"U / AR",2
2016,Morocco,Angola,"U / FI",1
2016,Mali,Angola,"G / FI",
2016,Mozambique,Angola,"G / FI",
2016,Malawi,Angola,"G / FI",
2016,Malaysia,Angola,"U / FI",1
2016,Netherlands,Angola,"G / RA",
2016,Netherlands,Angola,"G / FI",17
2016,Norway,Angola,"G / AR",4
2016,Norway,Angola,"G / FI",7
2016,Panama,Angola,"G / FI",3
2016,Poland,Angola,"G / FI",1
2016,Portugal,Angola,"G / FI",30
2016,Paraguay,Angola,"G / FI",
2016,Romania,Angola,"G / FI",2
2016,"Russian Federation",Angola,"G / TA",1
2016,Rwanda,Angola,"G / FI",1
2016,Senegal,Angola,"G / FA",
2016,Sweden,Angola,"G / FI",11
2016,Sweden,Angola,"G / AR",13
2016,Sweden,Angola,"G / RA",9
2016,Swaziland,Angola,"G / FI",1
2016,Chad,Angola,"G / FA",
2016,Thailand,Angola,"U / AR",
2016,Thailand,Angola,"U / FI",1
2016,Turkey,Angola,"U / FI",2
2016,Turkey,Angola,"U / AR",1
2016,Uganda,Angola,"G / FA",
2016,Ukraine,Angola,"G / FI",
2016,Ukraine,Angola,"G / JR",
2016,Uruguay,Angola,"G / FI",7
2016,"United States of America",Angola,"G / IN",274
2016,"United States of America",Angola,"G / EO",17
2016,"South Africa",Angola,"G / FI",2
2016,"South Africa",Angola,"G / AR",
2016,"United Kingdom",Anguilla,"G / AR",
2016,"United Kingdom",Anguilla,"G / RA",
2016,"United Kingdom",Anguilla,"G / FI",
2016,Argentina,Albania,"G / FI",
2016,Australia,Albania,"G / AR",11
2016,Australia,Albania,"G / FI",39
2016,Austria,Albania,"G / FA",76
2016,Belgium,Albania,"G / RA",168
2016,Belgium,Albania,"G / JR",256
2016,Belgium,Albania,"G / FI",649
2016,Brazil,Albania,"G / FI",2
2016,Canada,Albania,"G / FI",168
2016,Switzerland,Albania,"G / FI",142
2016,Switzerland,Albania,"G / FI",15
2016,Chile,Albania,"G / FI",
2016,"Costa Rica",Albania,"G / AR",4
2016,"Costa Rica",Albania,"G / FI",6
2016,Cyprus,Albania,"G / AR",
2016,"Czech Rep.",Albania,"G / FI",1
2016,Germany,Albania,"G / JR",
2016,Germany,Albania,"G / NA",14853
2016,Germany,Albania,"G / RA",2383
2016,Denmark,Albania,"G / AR",2
2016,Denmark,Albania,"G / FI",90
2016,Spain,Albania,"G / FI",26
2016,Estonia,Albania,"G / FI",8
2016,Finland,Albania,"G / FI",83
2016,Finland,Albania,"G / RA",
2016,France,Albania,"G / AR",1786
2016,France,Albania,"G / RA",399
2016,France,Albania,"G / RA",571
2016,France,Albania,"G / FI",6859
2016,"United Kingdom",Albania,"G / AR",491
2016,"United Kingdom",Albania,"G / FI",1768
2016,"United Kingdom",Albania,"G / RA",34
2016,Greece,Albania,"G / FI",1295
2016,Greece,Albania,"G / AR",831
2016,Greece,Albania,"G / RA",125
2016,Croatia,Albania,"G / FI",3
2016,Hungary,Albania,"G / FI",13
2016,Hungary,Albania,"G / RA",2
2016,Hungary,Albania,"G / FA",
2016,Ireland,Albania,"G / RA",20
2016,Ireland,Albania,"G / AR",145
2016,Ireland,Albania,"G / FI",222
2016,Ireland,Albania,"G / SP",20
2016,Ireland,Albania,"G / SP",35
2016,Iraq,Albania,"U / FI",
2016,Iceland,Albania,"G / FI",231
2016,Italy,Albania,"G / FI",363
2016,Liechtenstein,Albania,"G / FI",5
2016,Luxembourg,Albania,"G / JR",4
2016,Luxembourg,Albania,"G / RA",13
2016,Luxembourg,Albania,"G / FI",213
2016,Luxembourg,Albania,"G / AR",107
2016,Luxembourg,Albania,"G / RA",12
2016,Mexico,Albania,"G / FI",9
2016,Malta,Albania,"G / FI",3
2016,Montenegro,Albania,"G / FA",3
2016,Netherlands,Albania,"G / FI",1683
2016,Netherlands,Albania,"G / RA",34
2016,Norway,Albania,"G / AR",97
2016,Norway,Albania,"G / FI",127
2016,Norway,Albania,"G / RA",3
2016,Panama,Albania,"G / FI",1
2016,Portugal,Albania,"G / FI",
2016,Romania,Albania,"G / FI",15
2016,Romania,Albania,"G / RA",1
2016,"Russian Federation",Albania,"G / FI",
2016,"Serbia and Kosovo (S/RES/1244 (1999))",Albania,"G / FI",1
2016,Slovenia,Albania,"G / FI",6
2016,Sweden,Albania,"G / AR",784
2016,Sweden,Albania,"G / RA",56
2016,Sweden,Albania,"G / FI",730
2016,"United States of America",Albania,"G / IN",208
2016,"United States of America",Albania,"G / EO",165
2016,"Venezuela (Bolivarian Republic of)",Albania,"G / FI",
2016,"South Africa",Albania,"G / AR",
2016,Australia,Andorra,"G / FI",
2016,Austria,Andorra,"G / FA",
2016,Belgium,Andorra,"G / FI",
2016,Germany,Andorra,"G / NA",1
2016,"United Kingdom",Andorra,"G / FI",
2016,"United Kingdom",Andorra,"G / AR",
2016,"United Kingdom",Andorra,"G / RA",
2016,Australia,"United Arab Emirates","G / FI",3
2016,Austria,"United Arab Emirates","G / FA",1
2016,Belgium,"United Arab Emirates","G / RA",
2016,Belgium,"United Arab Emirates","G / FI",
2016,Brazil,"United Arab Emirates","G / FI",
2016,Canada,"United Arab Emirates","G / FI",3
2016,Switzerland,"United Arab Emirates","G / FI",1
2016,Germany,"United Arab Emirates","G / NA",9
2016,Germany,"United Arab Emirates","G / JR",
2016,Egypt,"United Arab Emirates","U / FI",
2016,Spain,"United Arab Emirates","G / FI",1
2016,Finland,"United Arab Emirates","G / FI",3
2016,Finland,"United Arab Emirates","G / RA",
2016,France,"United Arab Emirates","G / FI",1
2016,"United Kingdom","United Arab Emirates","G / RA",
2016,"United Kingdom","United Arab Emirates","G / AR",
2016,"United Kingdom","United Arab Emirates","G / FI",6
2016,Hungary,"United Arab Emirates","G / FA",
2016,Hungary,"United Arab Emirates","G / RA",3
2016,Indonesia,"United Arab Emirates","U / FI",1
2016,Jordan,"United Arab Emirates","U / FI",
2016,Malaysia,"United Arab Emirates","U / FI",
2016,Netherlands,"United Arab Emirates","G / RA",
2016,Netherlands,"United Arab Emirates","G / FI",
2016,Pakistan,"United Arab Emirates","U / FI",
2016,Sweden,"United Arab Emirates","G / FI",1
2016,Turkey,"United Arab Emirates","U / FI",16
2016,"United States of America","United Arab Emirates","G / EO",
2016,"United States of America","United Arab Emirates","G / IN",62
2016,Australia,Argentina,"G / FI",6
2016,Austria,Argentina,"G / FA",2
2016,Belgium,Argentina,"G / FI",
2016,Belgium,Argentina,"G / JR",1
2016,Brazil,Argentina,"G / FI",3
2016,Canada,Argentina,"G / FI",8
2016,Chile,Argentina,"G / FI",2
2016,"Costa Rica",Argentina,"G / AR",1
2016,"Costa Rica",Argentina,"G / FI",
2016,Germany,Argentina,"G / RA",1
2016,Germany,Argentina,"G / NA",
2016,Spain,Argentina,"G / FI",10
2016,France,Argentina,"G / AR",
2016,France,Argentina,"G / FI",1
2016,"United Kingdom",Argentina,"G / AR",
2016,"United Kingdom",Argentina,"G / FI",5
2016,"United Kingdom",Argentina,"G / RA",
2016,Italy,Argentina,"G / FI",4
2016,Mexico,Argentina,"G / FI",2
2016,Netherlands,Argentina,"G / FI",1
2016,Norway,Argentina,"G / FI",1
2016,Peru,Argentina,"G / FI",
2016,Sweden,Argentina,"G / FI",3
2016,Sweden,Argentina,"G / AR",2
2016,"Syrian Arab Rep.",Argentina,"U / JR",
2016,Uruguay,Argentina,"G / FI",2
2016,"United States of America",Argentina,"G / EO",23
2016,"United States of America",Argentina,"G / IN",38
2016,"Venezuela (Bolivarian Republic of)",Argentina,"G / FI",
2016,Albania,Armenia,"G / FI",
2016,Argentina,Armenia,"G / JR",
2016,Argentina,Armenia,"G / AR",
2016,Argentina,Armenia,"G / FI",50
2016,Austria,Armenia,"G / FA",223
2016,Azerbaijan,Armenia,"U / FI",1
2016,Azerbaijan,Armenia,"G / FI",
2016,Belgium,Armenia,"G / JR",59
2016,Belgium,Armenia,"G / RA",91
2016,Belgium,Armenia,"G / FI",135
2016,Bulgaria,Armenia,"G / FI",2
2016,"Bosnia and Herzegovina",Armenia,"G / FI",
2016,Brazil,Armenia,"G / FI",
2016,Canada,Armenia,"G / FI",6
2016,Switzerland,Armenia,"G / FI",7
2016,Switzerland,Armenia,"G / FI",47
2016,"Costa Rica",Armenia,"G / FI",
2016,Cyprus,Armenia,"G / AR",
2016,Cyprus,Armenia,"G / FI",8
2016,Cyprus,Armenia,"G / RA",3
2016,"Czech Rep.",Armenia,"G / FI",51
